INDEX,NAME,DATASET,UNCOMPRESSED,MAX_PNG_COMPRESSED,COMPRESSION,RLE,DELTA,RAW
0,ortho_1.5m.png,dark,99336192,11.764,20.283,0,0,8,RowWise
1,ortho_1.5m.png,dark,99336192,11.764,20.283,0,0,8,ColumnWise
2,ortho_1.5m.png,dark,99336192,11.764,15.440,0,1,8,RowWise
3,ortho_1.5m.png,dark,99336192,11.764,15.245,0,1,8,ColumnWise
4,ortho_1.5m.png,dark,99336192,11.764,17.409,0,2,8,RowWise
5,ortho_1.5m.png,dark,99336192,11.764,17.250,0,2,8,ColumnWise
6,ortho_1.5m.png,dark,99336192,11.764,17.382,0,3,8,RowWise
7,ortho_1.5m.png,dark,99336192,11.764,17.232,0,3,8,ColumnWise
8,ortho_1.5m.png,dark,99336192,11.764,17.375,0,4,8,RowWise
9,ortho_1.5m.png,dark,99336192,11.764,17.225,0,4,8,ColumnWise
10,ortho_1.5m.png,dark,99336192,11.764,17.371,0,5,8,RowWise
11,ortho_1.5m.png,dark,99336192,11.764,17.222,0,5,8,ColumnWise
12,ortho_1.5m.png,dark,99336192,11.764,17.369,0,6,8,RowWise
13,ortho_1.5m.png,dark,99336192,11.764,17.219,0,6,8,ColumnWise
14,ortho_1.5m.png,dark,99336192,11.764,17.370,0,7,8,RowWise
15,ortho_1.5m.png,dark,99336192,11.764,17.220,0,7,8,ColumnWise
16,ortho_1.5m.png,dark,99336192,11.764,17.370,0,8,0,RowWise
17,ortho_1.5m.png,dark,99336192,11.764,17.220,0,8,0,ColumnWise
18,ortho_1.5m.png,dark,99336192,11.764,17.370,0,8,8,RowWise
19,ortho_1.5m.png,dark,99336192,11.764,17.220,0,8,8,ColumnWise
20,ortho_1.5m.png,dark,99336192,11.764,17.247,1,0,8,RowWise
21,ortho_1.5m.png,dark,99336192,11.764,16.953,1,0,8,ColumnWise
22,ortho_1.5m.png,dark,99336192,11.764,15.973,1,1,8,RowWise
23,ortho_1.5m.png,dark,99336192,11.764,15.684,1,1,8,ColumnWise
24,ortho_1.5m.png,dark,99336192,11.764,15.907,1,2,8,RowWise
25,ortho_1.5m.png,dark,99336192,11.764,15.645,1,2,8,ColumnWise
26,ortho_1.5m.png,dark,99336192,11.764,15.889,1,3,8,RowWise
27,ortho_1.5m.png,dark,99336192,11.764,15.631,1,3,8,ColumnWise
28,ortho_1.5m.png,dark,99336192,11.764,15.881,1,4,8,RowWise
29,ortho_1.5m.png,dark,99336192,11.764,15.623,1,4,8,ColumnWise
30,ortho_1.5m.png,dark,99336192,11.764,15.877,1,5,8,RowWise
31,ortho_1.5m.png,dark,99336192,11.764,15.619,1,5,8,ColumnWise
